ticker,weight
A,0.00018999135300111616
AAPL,0.0
ABBV,0.0
ABT,0.0
ACGL,0.0
ACN,0.0
ADBE,0.0005070328987109754
ADI,0.0
ADM,0.0
ADP,4.955744302624181e-07
ADSK,0.0
AEE,0.0
AEP,0.0
AES,0.0
AFL,0.0
AIG,0.008646987679246857
AIZ,6.978018680685935e-06
AJG,0.0
AKAM,0.0
ALB,0.00017275813016261532
ALGN,0.0
ALL,0.0
ALLE,1.737430732829821e-12
AMAT,0.0
AMCR,6.961499698464714e-08
AMD,0.0
AME,5.612297970784726e-05
AMGN,0.0
AMP,0.0
AMT,4.979419737812052e-07
AMZN,0.037623010181285325
ANET,0.002156600304988128
AON,6.531997645060646e-08
AOS,0.0
APA,0.02559860350346027
APD,0.0
APH,0.0011929277131122987
APO,0.0
APTV,0.0
ARE,0.0
ARES,0.00033832403405300405
ATO,0.0
AVB,0.0
AVGO,0.0
AVY,0.0
AWK,8.001713688654435e-07
AXON,0.0
AXP,0.0010734644832433395
AZO,9.39723839086856e-12
BA,3.374251724158138e-06
BAC,0.0
BALL,0.0
BAX,0.0
BBY,0.0
BDX,0.0
BF-B,0.0
BG,0.0
BIIB,0.0
BK,0.0
BKNG,0.0
BKR,0.024791968657445464
BLDR,0.0
BLK,0.0
BMY,3.5184343328489025e-05
BR,0.09378108468566441
BRK-B,7.845951446991438e-07
BRO,0.0
BSX,0.0
BX,1.0828384686080366e-09
BXP,0.0004160403995952039
CAH,0.0
CAT,0.0
CBOE,6.130389020674766e-06
CBRE,0.0005405146435957754
CCL,0.0
CDNS,0.0
CDW,0.0
CF,0.0
CHRW,0.0
CHTR,0.0
CNC,5.212339180066078e-05
CNP,0.0
COF,4.674745448233417e-09
COR,0.0
CPB,0.004987971640748303
CPT,0.00017156442440780388
CRL,0.0
CVNA,1.7018661012129917e-07
GOOG,1.2521811806537787e-05
GOOGL,0.00010134677330157696
LNT,1.9894802903023272e-05
MMM,0.0
MO,3.970206100994606e-05
SCHW,0.02536920060099197
T,0.015375710863321108
TECH,0.0020322987421758972
XYZ,0.0
C,0.0
CAG,0.0
CB,0.009285629683507216
CCI,0.0
CFG,0.0
CHD,0.0
CI,0.0
CIEN,0.0
CINF,0.0
CL,0.0
CLX,0.0
CMCSA,0.0
CME,0.0
CMG,0.0
CMI,1.6928803473753382e-05
CMS,0.0
COHR,9.223290903512481e-09
COO,0.0
COP,0.0
COST,0.0
CPAY,0.0
CPRT,0.0
CRH,0.0
CRWD,2.7090562200662627e-07
CSCO,0.0
CSGP,0.03706780735273373
CSX,0.0
CTAS,0.0040862017370966106
CTRA,9.491728412558814e-10
CTSH,0.0
CTVA,0.0
CVS,0.00010851027356974484
CVX,1.3102384389324336e-06
D,0.0
DAL,3.571428312892493e-05
DD,0.0
DDOG,0.0
DE,0.0
DECK,0.0
DELL,0.0
DG,0.0
DHI,1.4374249751633005e-05
DHR,0.00010258057452118236
DLR,0.0
DLTR,0.0
DOV,0.0
DOW,3.3897875990508607e-06
DPZ,0.0
DRI,0.0
DTE,0.0
DUK,0.0
DVA,0.0
DVN,0.0
DXCM,0.0
EA,0.0
EBAY,2.462119552547302e-08
ECL,0.0
ED,0.0
EFX,2.7707053374490163e-12
EG,0.0
EIX,1.0274929412852635e-10
EL,0.0
ELV,0.0
EME,0.0
EMR,0.0
EOG,0.0
EPAM,0.0
EQIX,1.344268188024272e-12
EQR,3.3780889471002123e-07
EQT,0.0
ERIE,4.3020610783056874e-05
ES,0.0
ESS,1.1261957276978744e-06
ETN,7.616243163983872e-05
ETR,0.0
EVRG,0.0
EW,0.0
EXC,1.1845264448954153e-12
EXPD,3.2023738975212374e-12
EXPE,0.0
EXR,2.270914614671107e-05
FANG,0.0
FAST,0.045525396097330764
FDS,0.03284684861236504
FDX,9.65489329866783e-09
FFIV,0.0
FICO,0.0
FIS,0.0
FITB,0.0
FIX,0.0
FRT,0.0
GLW,0.0
KO,0.0
SATS,0.0
STZ,0.0
XOM,0.0
BEN,0.0348649645360737
