ticker,weight
MPWR,0.0
MRK,2.1344313440508284e-05
MRSH,0.0
MS,1.194188677604683e-06
MSCI,0.0
MSFT,4.6550263150547074e-08
MSI,6.654908495329343e-07
MTD,1.2440245857441372e-05
MU,6.836828843723172e-05
NCLH,0.0
NDAQ,6.439128984402998e-10
NDSN,3.3569873718185347e-07
NEE,0.0
NEM,0.0
NFLX,0.037551962239120565
NI,0.0
NKE,0.0
NOC,0.05258433304684195
NRG,5.248885086201244e-06
NSC,0.0
NTAP,0.0
NTRS,0.0
NUE,0.0
NVDA,0.059479629421654134
NVR,0.029635686387248755
NWS,0.0
NWSA,0.04009439979014691
NXPI,2.232073702428103e-09
O,0.009050553462422931
ODFL,0.0
OKE,0.0
OMC,0.0
ON,1.7420425182191777e-06
ORCL,0.0
ORLY,2.9371867178113314e-11
OXY,0.0
PANW,0.0
PAYX,0.0
PCAR,0.0
PCG,0.012521882229185372
PEG,0.0
PEP,0.0
PFE,2.828406826284157e-06
PFG,0.0
PG,0.0
PGR,0.0
PH,0.0
PHM,0.0
PKG,0.0
PLD,7.277768186014016e-08
PM,1.1600947815744221e-12
PNC,0.0
PNR,0.004526409271248735
PNW,0.00015541468388307654
POOL,0.0
PPG,0.0
PPL,0.0
PRU,0.0018710885427712348
PSA,0.0
PSKY,0.0
PSX,0.0
PTC,0.0
PWR,0.0
PYPL,0.0
QCOM,0.0
REG,1.218610310511093e-07
REGN,2.4948170478093706e-08
RF,0.0
RJF,1.1061692190552623e-06
RL,1.3908589142880342e-05
RMD,0.0012640405175064402
ROK,0.0
ROL,0.0
RSG,0.00022482705097551795
RTX,0.0
RVTY,0.0
TAP,1.1175292771591265e-07
CRM,1.6839080858644603e-06
DIS,0.0035631532569080707
GWW,0.0
LUV,1.3526982162512345e-07
NOW,1.2443333979133815e-06
RCL,3.241093680720067e-05
ROP,0.0
ROST,8.952993643590182e-07
SBAC,0.0
SBUX,0.0
SHW,0.0
SJM,0.0002470359933362236
SLB,0.004041321691211231
SMCI,0.005277084470993082
SNA,1.7693789169148702e-06
SNPS,0.0
SO,0.0
SPG,0.011487099403574511
SPGI,0.0
SRE,0.0
STE,0.0
STLD,0.0
STT,0.0
STX,0.0
SW,2.645628779588734e-05
SWK,2.8322426303550183e-10
SWKS,0.0
SYF,4.793291583914018e-06
SYK,0.0
SYY,2.680605450653263e-08
TDG,8.383592346649888e-10
TDY,0.0015476280068033137
TEL,5.521844383797551e-05
TER,0.0
TFC,0.0
TGT,0.0
TJX,0.0
TKO,3.4236181963458055e-06
TMO,3.584390829380166e-05
TMUS,0.0
TPL,0.015656063982855805
TPR,9.243963647239764e-10
TRGP,0.0
TRMB,0.0
TROW,0.0
TRV,0.0
TSCO,0.0
TSLA,0.0011647779164948781
TSN,0.0
TT,0.0
TTWO,0.0
TXN,0.016994931843955223
TXT,0.0
TYL,0.0
UAL,0.0
UDR,0.0
UHS,0.0
ULTA,2.6174735448782602e-08
UNH,0.008729063303281472
UNP,0.0
UPS,0.013821559696389903
URI,0.0
USB,0.003077834360506583
V,2.0729191001092435e-05
VLO,8.141713217694158e-08
VMC,0.04654132454857237
VRSK,0.00012187970961032085
VRSN,6.902975352040665e-13
VRTX,0.0
VTR,0.0
VTRS,1.7028229434155537e-07
VZ,0.03221382577232499
WAB,0.0
WAT,0.0
WBD,0.0
WDAY,0.0
WDC,0.0
WEC,0.0008836603125758652
WELL,0.0
WFC,0.0
WM,0.0
WMB,1.8720209755111202e-06
WMT,8.434465102229387e-05
WRB,0.005751821981323617
WSM,0.0
WST,0.0
WTW,0.0
WY,0.03407005802673847
WYNN,0.0
XEL,0.0
XYL,0.00015489991086570698
YUM,0.0
ZBRA,0.0
