ticker,weight
A,0.0
AAPL,1.6963263302107283e-09
ABBV,4.718191133602081e-06
ABT,0.0011365669502353775
ACGL,0.0
ACN,0.0
ADBE,0.0
ADI,0.0
ADM,0.0
ADP,0.0
ADSK,1.7117713908421246e-08
AEE,0.0
AEP,0.0
AES,0.0
AFL,0.0010319467809270784
AIG,0.0
AIZ,0.0
AJG,0.0014976984522887663
AKAM,4.409710266145458e-08
ALB,0.0
ALGN,0.0
ALL,0.0
ALLE,0.0
AMAT,0.007287696788553235
AMCR,0.0
AMD,0.0
AME,0.0
AMGN,7.572960059890929e-07
AMP,0.0
AMT,0.0
AMZN,3.46594806137425e-06
ANET,0.01704402583379202
AON,0.027520682464670456
AOS,0.0
APA,0.00041613513091099335
APD,0.0
APH,2.8735586861178885e-06
APO,0.0
APTV,0.0
ARE,0.0
ARES,0.001717633546303621
ATO,0.0
AVB,0.0
AVGO,2.362892262749138e-06
AVY,0.0
AWK,0.01391786113251733
AXON,3.1381058930495103e-05
AXP,0.0
AZO,0.0
BA,0.0
BAC,0.0
BALL,0.0
BAX,0.0
BBY,1.0002589168915655e-07
BDX,0.0
BF-B,2.6658307524458208e-09
BG,5.319063966588145e-06
BIIB,0.0
BK,0.0
BKNG,0.0196654873013171
BKR,0.008214526586711662
BLDR,0.0
BLK,0.0
BMY,0.0005925542898095333
BR,0.00034051830318752684
BRK-B,0.0
BRO,0.0006722230272039946
BSX,0.0
BX,0.0
BXP,0.0
CAH,0.0
CAT,0.0
CBOE,0.008156710770853448
CBRE,0.0
CCL,0.0138395498070394
CDNS,2.9828916405194293e-10
CDW,0.0
CF,0.0
CHRW,0.0
CHTR,0.0
CNC,2.2991082948298318e-06
CNP,0.01420179356646542
COF,0.0
COR,0.0
CPB,0.0
CPT,0.0
CRL,0.0
CVNA,1.7105169237762567e-05
GOOG,0.0
GOOGL,0.006747966374462914
LNT,0.0
MMM,1.2383835104242375e-09
MO,0.0
SCHW,6.26392131214601e-07
T,1.4729026209049966e-08
TECH,0.0
XYZ,0.0
C,0.0
CAG,0.0
CB,0.0
CCI,0.0
CFG,0.0
CHD,1.4979239949910985e-06
CI,0.0
CIEN,0.0
CINF,0.010919182551203025
CL,0.0
CLX,0.0019710413971183545
CMCSA,0.0
CME,6.59840268445722e-07
CMG,0.0
CMI,0.009666487775887382
CMS,1.7247137316420913e-07
COHR,0.0
COO,0.0
COP,0.0008671288684795494
COST,0.0010311112170381105
CPAY,0.006645634936257256
CPRT,1.315521637129301e-10
CRH,0.0
CRWD,0.0
CSCO,0.0
CSGP,5.505741850913098e-06
CSX,0.0009648147506999494
CTAS,5.5594151496691027e-11
CTRA,0.0
CTSH,0.009633582534462639
CTVA,0.0007637343559972484
CVS,0.006177486885339852
CVX,0.0
D,0.0
DAL,6.544600318522695e-08
DD,0.0
DDOG,0.0
DE,1.2518086572761884e-09
DECK,4.146282192239922e-11
DELL,0.0
DG,0.0
DHI,0.0
DHR,0.0
DLR,0.0
DLTR,0.0
DOV,0.005500050226361507
DOW,0.0
DPZ,1.450383747735467e-09
DRI,0.0
DTE,0.02593913250482143
DUK,0.0
DVA,4.33982595175073e-05
DVN,0.0
DXCM,0.0
EA,0.0
EBAY,0.019466132775729957
ECL,0.0
ED,0.0
EFX,0.0
EG,8.128344780430301e-08
EIX,4.592630728189943e-06
EL,3.2892157084003556e-05
ELV,0.0
EME,1.017032351209217e-06
EMR,0.0
EOG,0.010911010348878682
EPAM,7.490926445876999e-07
EQIX,1.872586903267199e-12
EQR,0.0
EQT,0.0
ERIE,0.0
ES,0.0
ESS,0.0
ETN,0.0
ETR,6.700120123886728e-11
EVRG,0.0
EW,0.0
EXC,0.003188221977119039
EXPD,0.008136516342110024
EXPE,0.0
EXR,8.776570295384339e-08
FANG,5.845207053999355e-05
FAST,0.0
FDS,0.0
FDX,2.78231058026082e-07
FFIV,0.0
FICO,1.862325543255662e-08
FIS,0.0
FITB,0.0
FIX,3.151544821535407e-08
FRT,0.0
GLW,0.0
KO,0.0
SATS,0.0
STZ,0.0075280841900799015
XOM,0.0
BEN,1.6142283814578003e-07
DOC,0.0
F,0.0
FCX,6.824926741705294e-08
FE,5.653131109965757e-05
FISV,0.000205654377944057
FOX,1.4108610903789885e-10
FOXA,0.0
FSLR,0.005227530744490353
FTNT,0.025396894307764213
FTV,0.0
GD,0.0
GDDY,0.0
GE,0.009713844426364407
GEN,0.0
GILD,0.0033082424506224862
GIS,0.0
GL,1.565354945905383e-05
GM,0.001074380537937605
GNRC,0.0
GPC,4.282599480756871e-09
GPN,0.00724806963455144
GRMN,0.0
GS,0.002518981653890916
HAL,0.0
HAS,1.39567534799009e-06
HBAN,1.0642369465759147e-10
HCA,0.0
HD,0.0
HIG,0.01427672921794087
HII,0.0
HLT,0.0
HOLX,0.019961400039291335
HON,0.008832263106548938
HPE,0.0
HPQ,0.0
HRL,0.0
HSIC,0.0
HST,1.4185591749417258e-08
HSY,9.57125737871963e-06
HUBB,1.0126072290657102e-05
HUM,0.0
HWM,0.008286785974302952
IBKR,0.0
IBM,0.00280803269451686
ICE,0.0
IDXX,0.0
IEX,2.5928281395814502e-08
IFF,5.257444553435438e-09
INCY,2.072982868872671e-06
INTC,0.0
INTU,2.0714848743692173e-08
INVH,0.00045626791464151015
IP,0.0
IQV,0.0
IR,0.0
IRM,1.1603433540772959e-05
ISRG,0.0
IT,0.00988520993313331
ITW,0.0
IVZ,0.0
J,0.00045930667504699723
JBHT,8.497317543410312e-08
JBL,0.013193695836734208
JCI,0.0
JKHY,0.0018412907156906532
JNJ,0.0
JPM,4.99826649464914e-07
KDP,4.0681171017075895e-06
KEY,0.0
KEYS,0.0
KHC,0.0
KIM,2.5819961156894796e-11
KKR,9.386178451768193e-08
KLAC,0.0
KMB,4.265407731091986e-07
KMI,7.345927631972325e-05
KR,3.821060507356984e-06
L,0.0
LDOS,0.0
LEN,0.0540443830631032
LH,0.0
LHX,0.002377630930509486
LII,2.630476894365723e-09
LIN,1.511936752826641e-06
LITE,0.0
LLY,0.0
LMT,0.0
LOW,0.0
LRCX,0.0
LULU,0.0
LVS,0.0
LYB,0.0
LYV,0.0
MPC,1.3988514139094607e-07
MTB,0.0
PODD,0.0
DGX,0.0
MA,0.0
MAA,2.993220062967313e-06
MAR,0.01207629886640814
MAS,0.0005646243897799358
MCD,6.0489850696113985e-05
MCHP,0.0
MCK,6.876564866070099e-07
MCO,4.839552887466081e-07
MDLZ,0.0
MDT,0.0
MET,0.0009249925883136402
META,4.9906256845824865e-06
MGM,0.0
MKC,0.0
MLM,0.0
MNST,0.0016781786026468922
MOS,0.0
MPWR,1.0540544506085785e-08
MRK,0.0
MRNA,0.0002638183550567536
MRSH,1.5171699125172525e-07
MS,0.0
MSCI,0.005837723988561419
MSFT,5.830946538118535e-05
MSI,0.013447689168525474
MTD,0.01535041377859869
MU,0.0
NCLH,0.0
NDAQ,5.847300095988027e-06
NDSN,0.0
NEE,0.002364063121643593
NEM,0.0
NFLX,0.0
NI,3.526226541306268e-05
NKE,0.0002220529579101758
NOC,9.906314912179253e-05
NRG,0.0
NSC,9.484604165462622e-09
NTAP,0.0
NTRS,0.010949839520403468
NUE,0.00021563179314396585
NVDA,0.0
NVR,6.110749392961123e-08
NWS,0.0
NWSA,0.0
NXPI,1.8761645157569284e-09
O,0.0
ODFL,0.03021567965187063
OKE,0.0002707589936434645
OMC,0.0
ON,0.0
ORCL,0.007468517165859712
ORLY,0.0
OXY,0.000302124007518017
PANW,0.02540951762051824
PAYX,0.0
PCAR,0.0
PCG,4.0805009920657523e-13
PEG,0.0
PEP,0.0
PFE,0.0
PFG,0.0
PG,0.0
PGR,2.3487789881723845e-07
PH,0.0
PHM,0.0
PKG,0.0003096858677963147
PLD,0.0
PM,0.0
PNC,0.008475036789663298
PNR,0.023261954004645344
PNW,0.0
POOL,0.0
PPG,0.0
PPL,0.0
PRU,0.0
PSA,0.003972596811486535
PSKY,0.0
PSX,4.150610034075255e-05
PTC,0.0
PWR,0.002071220913643931
PYPL,0.0
QCOM,0.0
REG,7.555758135322268e-06
REGN,0.0
RF,4.5616788739781724e-11
RJF,0.0
RL,0.0
RMD,0.0008857258897504731
ROK,0.0
ROL,2.66544949939824e-07
RSG,0.0
RTX,0.0
RVTY,0.008007203753551241
TAP,3.517988091883783e-06
CRM,0.0
DIS,0.0
GWW,0.016211139971551363
LUV,0.0
NOW,0.018949606701066386
RCL,4.949990919684026e-05
ROP,2.0428457374382883e-07
ROST,0.0
SBAC,5.727542739738944e-05
SBUX,0.0002287170075844786
SHW,0.0
SJM,0.014143800455012628
SLB,0.0
SMCI,0.07574379310001411
SNA,0.0
SNPS,0.01590306161266057
SO,0.0
SPG,0.0
SPGI,0.0
SRE,0.0
STE,0.0013717753994257364
STLD,0.0
STT,2.2198707806885574e-09
STX,0.0
SW,0.003589374920881714
SWK,3.141539459639704e-10
SWKS,0.0
SYF,8.357351972309463e-05
SYK,5.062220196653001e-10
SYY,0.0031560715027512637
TDG,0.0
TDY,0.0
TEL,0.0
TER,0.0
TFC,0.0
TGT,5.975977204413616e-05
TJX,0.0
TKO,0.00012197408380730106
TMO,7.288604378641296e-05
TMUS,0.0
TPL,0.037383880757599804
TPR,0.0
TRGP,1.7050878074819267e-05
TRMB,0.0
TROW,0.0
TRV,0.00032137226176862685
TSCO,1.2607344984151123e-05
TSLA,0.02396894878080409
TSN,0.0
TT,0.0
TTD,0.0
TTWO,0.0
TXN,1.2186749877935974e-09
TXT,0.007428131519759175
TYL,0.0
UAL,0.004586763428920747
UBER,0.0
UDR,0.0
UHS,0.0
ULTA,0.0
UNH,0.000820452568963413
UNP,0.0
UPS,0.02340040197837682
URI,1.4634544798545675e-05
USB,0.0
V,0.0
VICI,0.0
VLO,0.00015791498153583367
VMC,0.0
VRSK,0.0
VRSN,0.0
VRT,0.02738464875704041
VRTX,0.004523815363811398
VST,0.0007219012566844742
VTR,0.007841312275129384
VTRS,0.0
VZ,0.002108229154740582
WAB,0.0
WAT,0.010909508845322956
WBD,0.0
WDAY,0.0
WDC,0.0
WEC,0.02471672403281933
WELL,0.011710138661492614
WFC,0.01829794932426431
WM,0.00013417350903323867
WMB,0.0020102347440949346
WMT,0.00206827362801969
WRB,1.3162298543886124e-06
WSM,0.0
WST,0.0
WTW,6.599296111471223e-07
WY,0.0
WYNN,0.0
XEL,1.0163824738141454e-05
XYL,0.0
YUM,0.0
ZBRA,0.0
