date,portfolio_return,portfolio_equity,spy_return,spy_equity
2020-01-02,0.005176871870085266,1005.1768718700853,0.0,1000.0
2020-01-03,-0.002693580866821432,1002.4693466802446,-0.00757203371972659,992.4279662802734
2020-01-06,0.001904563683030988,1004.3786133912836,0.003815007013116656,996.2140859316457
2020-01-07,-0.0006183771094385625,1003.7575286475526,-0.00281181670847086,993.4129145196091
2020-01-08,0.004978280115293091,1008.7545147929947,0.005329795657192715,998.7076023572149
2020-01-09,0.004544424129043426,1013.3387231503012,0.006780667932844153,1005.4795069708063
2020-01-10,-0.002529212401133257,1010.7757742851611,-0.002877709756457403,1002.5860287836783
2020-01-13,0.007432867260855538,1018.288736445911,0.006877264038628761,1009.481077625064
2020-01-14,0.0008025181230550301,1019.1059316114117,-0.0015249474933777263,1007.9416719861274
2020-01-15,0.003282938123416522,1022.4515933260986,0.002260116320218053,1010.219737408811
2020-01-16,0.008532805797658917,1031.1759742094573,0.008318399585178993,1018.6231488534121
2020-01-17,0.0027021601877715404,1033.9623768735526,0.0031123342567473955,1021.7934445743044
2020-01-21,-0.002147142135703099,1031.7423126874357,-0.0019580610366979334,1019.79271064293
2020-01-22,-0.0005234026732077898,1031.2022960029135,0.00012065337886912886,1019.9157520792153
2020-01-23,0.0028257582712027957,1034.1162244201269,0.0011471270574738845,1021.0857250347691
2020-01-24,-0.007963936828600271,1025.8805881354144,-0.008893487441210657,1012.0047119627728
2020-01-27,-0.014220943874910082,1011.291597869181,-0.016029306413459454,995.7829783428568
2020-01-28,0.009063516742816637,1020.4574561983379,0.010479276958070827,1006.2180639630443
2020-01-29,-0.0024078124520453426,1018.0003860285211,-0.0008260357984259947,1005.3868918211879
2020-01-30,0.002565389799705492,1020.611953834935,0.003245530341169145,1008.6499054832072
2020-01-31,-0.017495528802081182,1002.7558080008677,-0.018157915655209966,990.3349255738076
2020-02-03,0.007165902558757174,1009.9414584112296,0.007428482343069698,997.6916110821579
2020-02-04,0.015985577498060965,1026.085955863167,0.015241233413692878,1012.8976618015444
2020-02-05,0.010998366670604201,1037.3712254413076,0.011548113316306008,1024.5947187778502
2020-02-06,0.0033563569773638617,1040.853013591934,0.003364768876424673,1028.042243198543
2020-02-07,-0.0069047820445700524,1033.666150392648,-0.005329840698705568,1022.5629418107549
2020-02-10,0.005735828009003757,1039.5950816500292,0.007465270168714566,1030.1966504358877
2020-02-11,0.005777163975311426,1045.6009929046488,0.0017334524289887021,1031.9824473219219
2020-02-12,0.005271241786352474,1051.1126085502995,0.006442607247382881,1038.63110491621
2020-02-13,0.0001286856575651649,1051.2478716675057,-0.0010670757354578342,1037.5228068660622
2020-02-14,0.001674006960034103,1053.0076679213983,0.0016021252556603915,1039.1850483582662
2020-02-18,-0.005024928010188083,1047.7163801959173,-0.0025766498685066974,1036.5074323400595
2020-02-19,0.003970622684972723,1051.8764666225406,0.0047812336677710565,1041.4632165724588
2020-02-20,9.03408952307592e-05,1051.9714940842075,-0.0041083511106908555,1037.1845200099096
2020-02-21,-0.006891100888127166,1044.7222523870394,-0.010298332724985926,1026.5032487256428
2020-02-24,-0.028369129886359614,1015.0843911139013,-0.03316525247427338,992.4590093159952
2020-02-25,-0.0326989254591144,981.8922222741573,-0.03030222055401366,962.385297524884
2020-02-26,-0.006379242990054514,975.6284931982259,-0.003678398649591186,958.845260746082
2020-02-27,-0.0381442841501658,938.4138427286747,-0.044911808555241794,915.7817859613531
2020-02-28,-0.010733116721130738,928.341737421943,-0.004201313283614283,911.9342997791017
2020-03-02,0.0400117618430939,965.4863259286738,0.04330652257986056,951.4270031238347
2020-03-03,-0.0217560756870482,944.4811323469595,-0.02863268376863992,924.1850946144451
2020-03-04,0.04070821038966068,982.9292689916045,0.0420330846736745,963.031444950522
2020-03-05,-0.03348978070001978,950.011183329445,-0.03324177395913919,931.0185713419336
2020-03-06,-0.020240165857968083,930.7827994119325,-0.016530885582525356,915.6280098638738
2020-03-09,-0.08408076902743372,852.5218658398696,-0.07809451522589139,844.1224843063069
2020-03-10,0.04916020153296659,894.4320125758184,0.051744666165732145,887.8013204597252
2020-03-11,-0.056841262514975927,843.5913677471981,-0.04874797280000387,844.522805838147
2020-03-12,-0.09682727623090642,761.908713356332,-0.09567744469521888,763.7210217887166
2020-03-13,0.0853493897257152,826.9371570679998,0.0854865466550172,829.0088945492752
2020-03-16,-0.12811490165679865,720.9941845138804,-0.1094239831468371,738.2954392435372
2020-03-17,0.05462346362741582,760.3773841272528,0.05399212010432919,778.1575752716527
2020-03-18,-0.07456462742951474,703.6801277739752,-0.05063299416142253,738.7571273062564
2020-03-19,0.027254358378209262,722.8584781599511,0.0021251026339834667,740.327062023369
2020-03-20,-0.042984623641174065,691.7866785304137,-0.043094282040815224,708.4231988100858
2020-03-23,-0.03569718767394243,667.0918396365803,-0.02556804269625601,690.3102042158912
2020-03-24,0.10536017119659918,737.3767500645447,0.09060312916076652,752.8544688094587
2020-03-25,0.028362834779620063,758.2908449969586,0.01497011506682333,764.1247868361086
2020-03-26,0.06306806193094222,806.1147789708933,0.05838983084477922,808.7419038837719
2020-03-27,-0.03333271123678819,779.2447878197493,-0.029785559831358,784.6530735175155
2020-03-30,0.0285465037143742,801.4895020496524,0.03247578009528462,810.1352941841595
2020-03-31,-0.01986382909077992,785.5688515628838,-0.014905388287493326,798.059913058942
2020-04-01,-0.0488108265338725,747.2245866188346,-0.04500493954690121,762.143274916919
2020-04-02,0.012338256964081728,756.4440355784175,0.02307545764474339,779.7300797764905
2020-04-03,-0.016986624386703317,743.5946048764848,-0.014454391207914474,768.4595561668227
