date,portfolio_return,portfolio_equity,spy_return,spy_equity,is_refresh_day
2020-06-12,-0.00045897875338142546,999.5410212466186,0.0,1000.0,True
2020-06-15,0.028668031611495535,1028.1958948407032,0.009335805362312266,1009.3358053623123,False
2020-06-16,0.009230609414936822,1037.6867695480191,0.019247756752987177,1028.7632554260065,False
2020-06-17,-0.004152698633080787,1033.3775691185513,-0.00415396806369861,1024.4898057178602,False
2020-06-18,0.003888511268176344,1037.3958694403493,0.00038497055358743815,1024.8842041255123,False
2020-06-19,-0.00555156179748675,1031.6367021626938,-0.005714836373277743,1019.0271585973778,False
2020-06-22,-0.0028862577114698402,1028.6591327756414,0.006414980174401119,1025.5641976169563,False
2020-06-23,0.0033596337540687075,1032.1150507195453,0.004603846779211995,1030.2857380450303,False
2020-06-24,-0.03514767860568249,995.8386026327671,-0.025508850323821775,1004.0043333624714,False
2020-06-25,0.014706743183140856,1010.4841452135452,0.010720633529333057,1014.7678958823127,False
2020-06-26,-0.024258997793859052,985.9708125640801,-0.023751414990956787,990.6657224677119,False
2020-06-29,0.030586224510810472,1016.1279371982712,0.01469751999109925,1005.2260517281779,False
2020-06-30,0.03629137587817432,1053.0046181074474,0.01280949920699892,1018.1024940406447,False
2020-07-01,0.008205540184733545,1061.6450898160383,0.007004779186901455,1025.2340772010332,False
2020-07-02,0.029669498581333966,1093.1435673022154,0.005507234991858567,1030.8802821858405,False
2020-07-06,0.05241156854379038,1150.436936308079,0.015437384987903702,1046.794377978382,False
2020-07-07,-0.004180171377603666,1145.6279127551861,-0.01031420077845191,1035.9975305901585,False
2020-07-08,-0.0029020133418598266,1142.3032852675635,0.007648754158248394,1043.9216210101952,False
2020-07-09,-0.0025163213373620005,1139.428883137106,-0.0056929949650792455,1037.9785804778467,False
2020-07-10,0.04448448300234384,1190.1157879213981,0.010210556185973108,1048.5769190936526,False
2020-07-13,-0.010612579286944486,1177.485589761438,-0.008659149879444605,1039.4971343910943,False
