ticker,weight
A,0.0
AAPL,0.0
ABBV,0.0
ABT,0.000514655369558362
ACGL,0.0
ACN,0.0
ADBE,0.0
ADI,0.0
ADM,0.0
ADP,9.696999399327597e-06
ADSK,0.0
AEE,0.0
AEP,0.0
AES,0.0
AFL,0.0
AIG,3.115151172262731e-07
AIZ,0.0
AJG,0.00023817420894309767
AKAM,0.0
ALB,0.0
ALGN,0.0009138738468481672
ALL,3.2037757150972134e-06
ALLE,5.373757962957536e-06
AMAT,0.0019488602420606228
AMCR,0.00041625203517051937
AMD,0.0009171616052831498
AME,0.00013241003665071855
AMGN,0.0
AMP,0.0
AMT,0.0
AMZN,0.0
ANET,0.0
AON,1.6954456518831033e-05
AOS,0.008099953428311065
APA,0.0
APD,0.042463496427571246
APH,0.0017519204158448454
APO,0.0
APTV,0.013326514129910542
ARE,0.0012149311525140687
ARES,1.198493417925165e-08
ATO,0.0
AVB,0.0
AVGO,0.0
AVY,0.0
AWK,4.971647621636458e-10
AXON,7.71175427981572e-12
AXP,0.11721990888066469
AZO,0.018944447586308356
BA,0.00033287646352085545
BAC,0.0
BALL,0.00018234178500258546
BAX,0.0
BBY,0.01032586564915091
BDX,0.002293575317462794
BF-B,3.5242478591825662e-06
BG,0.003657292244530807
BIIB,0.0
BK,0.0
BKNG,2.8120135928096326e-05
BKR,0.0
BLDR,2.0686702987358773e-05
BLK,0.0
BMY,3.479679765187563e-05
BR,0.0
BRK-B,0.0
BRO,0.013370088760388149
BSX,0.0007223130504840212
BX,1.6331509113645832e-07
BXP,0.0
CAH,0.0
CAT,0.11397328249947826
CBOE,0.03324789786426539
CBRE,0.00043999335155204476
CCL,1.331120059973506e-10
CDNS,0.0003563547366944383
CDW,0.0
CF,0.0004176533585627502
CHRW,0.00044955109671071747
CHTR,0.0
CNC,0.0
CNP,0.0033577857628746
COF,0.0
COR,0.0
CPB,0.0009606677808765972
CPT,0.0
CRL,5.808017662433079e-06
GOOG,0.0
GOOGL,0.0
LNT,0.028991795221655604
MMM,4.911094967789708e-05
MO,0.003003680651391255
SCHW,1.469555459670294e-07
T,0.0
TECH,0.0
XYZ,2.7697790589695943e-10
C,6.013067487381658e-07
CAG,0.0
CB,0.0
CCI,2.695686619867412e-08
CFG,0.0
CHD,0.00015899764744864827
CI,0.0
CIEN,0.0021868786989098703
CINF,0.0
CL,2.0927290886763467e-08
CLX,0.04090499656122406
CMCSA,0.0
CME,4.524706462934536e-05
CMG,2.9037185970040145e-05
CMI,0.0
CMS,0.001113937465042391
COHR,0.0
COO,0.00014046709241081844
COP,0.0
COST,6.62679766494149e-11
CPAY,0.008204236338072017
CPRT,0.0
CRH,0.0
CSCO,0.0
CSGP,5.235058459861457e-06
CSX,0.0
CTAS,3.28660257320267e-09
CTRA,0.0
CTSH,0.0
CVS,0.0006516967944676537
CVX,0.0
D,5.594011182421714e-09
DAL,3.789113377594831e-06
DD,0.0
DE,0.0
DECK,0.0
DG,0.008006468617774602
DHI,0.0
DHR,0.0002428793862600421
DLR,0.00038998577021432247
DLTR,0.0
DOV,0.0007138575185552593
DPZ,0.0017670290583299906
DRI,0.0
DTE,0.0
DUK,0.0
DVA,0.0
DVN,0.0
DXCM,3.125582632807298e-11
EA,0.0
